name,PaxinaWeb,Web,Enderezo,CodigoPostal,Provincia,Concello,WKT
"ALBERGUE DE PEREGRINOS DE RIBADEO","<a href=""http://www.turismo.gal/recurso/-/detalle/280380581/albergue-de-peregrinos-de-ribadeo?langId=gl_ES&tp=1000100&ctre=1000300"" style=""color:#FFFFFF;"">ver detalle</a>","","O Cargadoiro, nº s/n","27700","Lugo","Ribadeo","POINT (-7.037323 43.543938)"
"ALBERGUE DE PEREGRINOS DE RIBADISO","<a href=""http://www.turismo.gal/recurso/-/detalle/280380553/albergue-de-peregrinos-de-ribadiso?langId=gl_ES&tp=1000100&ctre=1000300"" style=""color:#FFFFFF;"">ver detalle</a>","","","15810","A Coruña","Arzúa","POINT (-8.130525 42.930874)"
"ALBERGUE DE PEREGRINOS DE SAN LÁZARO","<a href=""http://www.turismo.gal/recurso/-/detalle/280380519/albergue-de-peregrinos-de-san-lazaro?langId=gl_ES&tp=1000100&ctre=1000300"" style=""color:#FFFFFF;"">ver detalle</a>","","","15707","A Coruña","Santiago de Compostela","POINT (-8.513215 42.887386)"
"ALBERGUE DE PEREGRINOS DE SANDIÁS","<a href=""http://www.turismo.gal/recurso/-/detalle/280380542/albergue-de-peregrinos-de-sandias?langId=gl_ES&tp=1000100&ctre=1000300"" style=""color:#FFFFFF;"">ver detalle</a>","","Estrada de Couso","32692","Ourense","Sandiás","POINT (-7.758118 42.10847)"
"ALBERGUE DE PEREGRINOS DE SANTA IRENE","<a href=""http://www.turismo.gal/recurso/-/detalle/280380526/albergue-de-peregrinos-de-santa-irene?langId=gl_ES&tp=1000100&ctre=1000300"" style=""color:#FFFFFF;"">ver detalle</a>","","","15821","A Coruña","O Pino","POINT (-8.335813 42.91828)"
"ALBERGUE DE PEREGRINOS DE SARRIA","<a href=""http://www.turismo.gal/recurso/-/detalle/280380575/albergue-de-peregrinos-de-sarria?langId=gl_ES&tp=1000100&ctre=1000300"" style=""color:#FFFFFF;"">ver detalle</a>","","Maior, nº 57","27600","Lugo","Sarria","POINT (-7.414881 42.777477)"
"ALBERGUE DE PEREGRINOS DE SERGUDE","<a href=""http://www.turismo.gal/recurso/-/detalle/280380563/albergue-de-peregrinos-de-sergude?langId=gl_ES&tp=1000100&ctre=1000300"" style=""color:#FFFFFF;"">ver detalle</a>","","","","A Coruña","Carral","POINT (-8.345597 43.24637)"
"ALBERGUE DE PEREGRINOS DE SOBRADO","<a href=""http://www.turismo.gal/recurso/-/detalle/280380559/albergue-de-peregrinos-de-sobrado?langId=gl_ES&tp=1000100&ctre=1000300"" style=""color:#FFFFFF;"">ver detalle</a>","","Rúa do Convento, nº s/n","15813","A Coruña","Sobrado","POINT (-8.023028 43.03851)"
"ALBERGUE DE PEREGRINOS DE TRIACASTELA","<a href=""http://www.turismo.gal/recurso/-/detalle/280380576/albergue-de-peregrinos-de-triacastela?langId=gl_ES&tp=1000100&ctre=1000300"" style=""color:#FFFFFF;"">ver detalle</a>","","do Peregrino, nº s/n","","Lugo","Triacastela","POINT (-7.235421 42.75544)"
"ALBERGUE DE PEREGRINOS DE TUI","<a href=""http://www.turismo.gal/recurso/-/detalle/280380540/albergue-de-peregrinos-de-tui?langId=gl_ES&tp=1000100&ctre=1000300"" style=""color:#FFFFFF;"">ver detalle</a>","","Párroco Rodríguez Vázquez, nº s/n","36700","Pontevedra","Tui","POINT (-8.643834 42.045956)"
"ALBERGUE DE PEREGRINOS DE VILADERREI","<a href=""http://www.turismo.gal/recurso/-/detalle/280380551/albergue-de-peregrinos-de-viladerrei?langId=gl_ES&tp=1000100&ctre=1000300"" style=""color:#FFFFFF;"">ver detalle</a>","","Vicente Risco, nº 89","32696","Ourense","Trasmiras","POINT (-7.596245 42.01467)"
"ALBERGUE DE PEREGRINOS DE VILALBA","<a href=""http://www.turismo.gal/recurso/-/detalle/280380607/albergue-de-peregrinos-de-vilalba?langId=gl_ES&tp=1000100&ctre=1000300"" style=""color:#FFFFFF;"">ver detalle</a>","","Polígono industrial de Vilalba - (Zona da Cruz Vermella)","27800","Lugo","Vilalba","POINT (-7.6609116 43.30816)"
"ALBERGUE DE PEREGRINOS DE VILAR DE BARRIO","<a href=""http://www.turismo.gal/recurso/-/detalle/280380552/albergue-de-peregrinos-de-vilar-de-barrio?langId=gl_ES&tp=1000100&ctre=1000300"" style=""color:#FFFFFF;"">ver detalle</a>","","Avenida de San Fiz, nº s/n","32702","Ourense","Vilar de Barrio","POINT (-7.609513 42.161045)"
